UserID,EmployerNumber,CreationDate,Username,Password,Level
1,8186958215,7/16/2020,aborborough0,DhIN4arigaC,III
2,8155438627,12/23/2005,corys1,Vdlo73,IV
3,6872706341,10/10/2005,mbarkaway2,YYqHp1e7xwXk,Sr
4,1338130269,10/11/2019,strodd3,Nqx937xPP9Dm,III
5,3510669339,12/25/2020,cwhaplington4,387ph8FTqTee,IV
6,6251779616,6/22/2009,sguirardin5,4lL7QtVqiX,Jr
7,5277930493,2/6/2022,agoundry6,lWIlsEGEa,Jr
8,9815929046,3/24/2009,bgallear7,cxydwd0,Sr
9,3361335027,4/5/2015,ahaith8,QposzgPjk9B,II
10,4200674548,7/26/2017,hloudon9,xs2etxt7gyM,Sr
11,8541484041,7/20/2019,tmertgena,Zn3ZGZ5T5xT,II
12,9072291689,12/6/2002,saisthorpeb,DuE0SLzrTouA,Sr
13,4251119487,5/14/2022,egiacaponic,yTo0Ytf5y7,III
14,8115832553,6/29/2007,gtumininid,GBxR2axgUGe7,II
15,6100129647,3/7/2010,ttalkse,NkNlsZEf,IV
16,7160949056,12/10/2001,mlunaf,ruk4a49ekd,III
17,4697147871,4/23/2010,wyanceyg,dZzu20,II
18,9235351669,1/7/2011,srozeth,J2fRleJ,III
19,6602535048,4/7/2022,lduseyi,7SN2aLT8u0O,III
20,5131628830,7/3/2002,abrosij,3r2SjVRLqIz,IV
21,7520721191,9/16/2018,rdellowk,OqBWru,Jr
22,7581775348,8/26/2012,bsiredl,mypx0v1O,Jr
23,8174914722,2/9/2004,fbrouardm,CndF0uwJ3oVP,Jr
24,6248729255,7/9/2001,lbellfieldn,2B05Ht,II
25,6051395067,4/12/2022,cwillsono,cp9l5jpyUX,III
26,4731108829,2/2/2003,lcaretp,KOEjebxOZIGy,III
27,1931417407,7/27/2003,mgiorgiuttiq,A81n9w,Sr
28,5298846025,8/24/2005,ystrowlgerr,GuvNMwLJfxhX,II
29,799581313,9/6/2004,wstiggless,pbjKe0r8DmyT,Sr
30,1416457437,5/9/2007,ebertelett,ddzoS4OqP,Jr
31,4904834925,1/26/2021,mmeasomu,td6dzjYRT3,Jr
32,1457871009,2/22/2004,pdowthwaitev,CJ6tcxikj7,IV
33,7071692661,8/23/2004,kristw,YJzuLKmSpH,III
34,6876014312,2/11/2002,cwinsburyx,qxBpMSvW,IV
35,5592396600,3/26/2002,sroady,Jo6Cthd6,IV
36,4888226954,4/14/2010,lpenniellz,bKaCriS9gkY,IV
37,1226328679,7/27/2017,fbeckworth10,CvxujzKotI,II
38,9499577920,5/27/2014,kdaniele11,ILBXvoCrn,Sr
39,8649048552,6/5/2011,gstuchberry12,kBB8GU,Sr
40,3941624121,12/6/2011,hgoolding13,XuGGoNbyGe,II
41,8885327117,4/5/2004,swalling14,5c7hOpOBwXTN,II
42,3244380123,6/29/2013,hsanti15,mOfkJF,IV
43,4611582612,11/6/2012,ugirard16,ZxVkYAnAaMYv,IV
44,7085456108,3/26/2022,fsutty17,cfFehVMWGZE,Sr
45,3360096940,8/19/2015,nlettington18,QZdju4hPgy,II
46,4984977000,4/28/2005,vcarlsson19,3maNU1,Jr
47,1595811737,8/29/2009,mkettley1a,6C37uE,III
48,3043350774,3/13/2019,sgeraghty1b,XBlZhJabC9,II
49,1850297835,11/21/2019,dfawlo1c,gXmte2jRbm6,II
50,4254449046,10/10/2020,sbeckson1d,V5vYozEU,Jr
51,9407158403,4/18/2005,acashley1e,cxP4gjoCuZ7d,III
52,6222995608,5/13/2004,soverill1f,171PWz6VdU,III
53,4970466491,4/10/2003,agegay1g,OpPClyD,Sr
54,4751556770,7/14/2004,rlynd1h,kDqPakj8EP16,II
55,3463613417,9/12/2011,aelcocks1i,JpepA9Jh,Jr
56,4818559784,6/27/2010,aofearguise1j,iOnpVxcx4Mj,Sr
57,8860394139,9/22/2010,ulicciardo1k,Kj5ajX6ZM9,II
58,9156446055,1/27/2008,vfarrants1l,BUipQMT3mR,Jr
59,7433936327,7/16/2011,fshirland1m,NJSOIP,II
60,474794997,4/15/2011,fmasding1n,rifNIK,II
61,1306527724,7/3/2021,wschoolcroft1o,wn1cWim,II
62,5713003949,1/8/2011,cscroggie1p,DKV0O7tZ,IV
63,504141295,1/4/2002,ebocken1q,iNtXdHQa2Gp6,III
64,5210771180,2/24/2002,dgilluley1r,ONCfpv,II
65,9031957542,6/27/2000,gstilly1s,h4eS26llxzWX,Sr
66,5154107691,9/14/2019,ahonisch1t,O2J1auzhsRa,IV
67,6325944372,6/14/2017,catyeo1u,PZqj5ia6KV7m,Sr
68,2605403653,10/24/2009,rohear1v,4wRGM6fAKPof,II
69,7315111247,12/24/2002,vcrasswell1w,hNd9AC,IV
70,5122060576,11/25/2006,bellesworthe1x,hbPSE6,III
